"Chabot Weekly Results December 9, 2017",,,,,
Name,Raw,Handicap,Adjusted,Payout,187+8=195
Toby Parks,51,1.68,52.68,$19,
Josh Cook,53,2,55,$13,
Jason Cantero,54,1.92,55.92,,
Bob McGarity,59,-1.6,57.4,,
Ari Freedman,58,-0.4,57.6,,
Greg Randolph,62,-1.066666667,60.93333333,,
Joe Kestler,63,-1.2,61.8,,
Gonzalo Arestizabal,DNF,-7.333333333,N/A,,
